timestamp	time	fix	state	rawx	rawy	avgx	avgy	psize	Lrawx	Lrawy	Lavgx	Lavgy	Lpsize	Lpupilx	Lpupily	Rrawx	Rrawy	Ravgx	Ravgy	Rpsize	Rpupilx	Rpupily
MSG	2016-12-27 00:21:54.623	1055997057	start_recording
MSG	2016-12-27 00:21:54.626	1055997057	image_on
MSG	2016-12-27 00:21:54.626	1055997057	image.jpg
2016-12-27 00:21:54.727	1055997607	False	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-12-27 00:21:54.743	1055997623	False	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-12-27 00:21:54.760	1055997640	False	7	1111.34	507.6476	1088.4104	500.8319	24.80825	1088.4104	500.8319	1088.4104	500.8319	24.0517	0.4125	0.5161	1134.2695	514.4633	1134.2695	514.4633	25.5648	0.6485	0.5229
2016-12-27 00:21:54.777	1055997657	False	7	1105.1279	494.2988	1108.6261	510.351	24.7792	1090.6305	461.3999	1089.522	481.0908	23.7994	0.4125	0.516	1119.6254	527.1976	1119.6254	527.1976	25.759	0.6483	0.5234
2016-12-27 00:21:54.793	1055997673	False	7	1104.6365	501.6039	1106.5121	507.1352	24.7587	1093.9728	472.052	1091.0138	478.0316	23.8503	0.4124	0.5164	1115.3002	531.1558	1117.46	529.1793	25.6671	0.6482	0.5237
2016-12-27 00:21:54.810	1055997690	False	7	1101.8912	510.7203	1104.8705	505.3647	24.7714	1096.1671	498.2887	1092.3207	483.1047	24.0908	0.4121	0.5169	1107.6154	523.1519	1114.1608	527.1649	25.452	0.6479	0.5236
2016-12-27 00:21:54.827	1055997707	False	7	900.0764	551.2986	1092.0687	506.4527	24.9721	858.2368	542.5812	1044.8007	495.1843	24.1993	0.4083	0.5185	941.9159	560.016	1070.7	535.4459	25.7449	0.6443	0.5247
2016-12-27 00:21:54.844	1055997724	False	7	670.0122	550.3192	1069.3647	507.6173	24.88665	643.41	535.22	975.9489	502.1166	24.0858	0.4045	0.5193	696.6144	565.4184	994.4615	541.5782	25.6875	0.6397	0.525
2016-12-27 00:21:54.860	1055997740	False	7	643.3846	567.6327	1045.307	511.2906	24.90835	630.3873	542.503	923.8775	508.2395	23.964	0.4038	0.5195	656.382	592.7623	935.9304	550.3979	25.8527	0.6386	0.5253
2016-12-27 00:21:54.877	1055997757	False	7	628.0508	588.4716	1021.4755	515.5983	24.97495	614.2418	575.8257	881.8481	517.2841	24.231	0.4035	0.5199	641.8597	601.1174	891.1691	558.0538	25.7189	0.6384	0.5255
2016-12-27 00:21:54.893	1055997773	False	7	626.5511	577.7339	998.7538	519.518	25.0046	608.4083	574.1309	847.6784	524.2947	24.2475	0.4035	0.5199	644.694	581.3369	857.2386	561.3395	25.7617	0.6384	0.5253
2016-12-27 00:21:54.910	1055997790	False	7	630.1171	580.1423	977.4225	523.0173	24.93985	613.1226	572.3512	820.1417	529.8613	24.0546	0.4035	0.5199	647.1117	587.9334	830.5114	564.7279	25.8251	0.6384	0.5256
2016-12-27 00:21:54.927	1055997807	False	7	624.4536	567.3996	957.427	526.1214	24.86925	596.6924	557.0564	795.3828	533.026	23.8952	0.4032	0.5199	652.2147	577.7428	809.1476	566.4121	25.8433	0.6382	0.5256
2016-12-27 00:21:54.943	1055997823	False	7	631.8931	566.762	939.3367	530.4424	24.8336	627.4536	559.4765	627.4536	559.4765	23.917	0.4033	0.5201	636.3326	574.0474	789.6532	567.4532	25.7502	0.6381	0.5256
2016-12-27 00:21:54.960	1055997840	False	7	630.1453	572.3912	622.1662	561.1452	25.14525	622.1662	561.1452	622.1662	561.1452	24.4838	0.403	0.5204	638.1243	583.6372	638.1243	583.6372	25.8067	0.6378	0.5257
2016-12-27 00:21:54.977	1055997857	False	7	526.5364	594.1888	553.6926	589.7045	25.1459	505.0443	590.7693	563.5305	575.9761	24.3293	0.4009	0.5215	548.0286	597.6083	548.0286	597.6083	25.9625	0.6357	0.5261
2016-12-27 00:21:54.994	1055997874	False	7	456.3343	593.216	535.2242	588.6711	24.97675	449.9371	592.1103	525.4058	581.4022	24.2445	0.3993	0.5221	462.7315	594.3217	505.3257	595.9629	25.709	0.6336	0.5262
2016-12-27 00:21:55.010	1055997890	False	7	447.9478	595.7406	521.9875	589.4393	24.95415	438.1115	593.7155	503.1686	584.5473	24.1919	0.3987	0.5224	457.7842	597.7656	489.3388	596.5637	25.7164	0.6331	0.5261
2016-12-27 00:21:55.027	1055997907	False	7	445.4905	597.6262	512.84	589.8721	24.7601	443.5663	603.3785	490.7589	588.4211	24.0428	0.398	0.5228	447.4147	591.8738	478.6498	595.381	25.4774	0.6324	0.5258
2016-12-27 00:21:55.043	1055997923	False	7	449.5792	601.3248	505.4964	590.6685	24.6715	447.4386	608.487	483.0155	591.9169	23.8213	0.3973	0.5232	451.7198	594.1627	473.0266	595.1266	25.5217	0.6318	0.5254
2016-12-27 00:21:55.060	1055997940	False	7	450.6735	602.1512	500.7483	590.8525	24.5701	455.4124	589.7035	478.5624	591.6888	23.706	0.3966	0.5231	445.9347	614.5991	468.2323	598.4401	25.4342	0.6311	0.5255
2016-12-27 00:21:55.077	1055997957	False	7	447.1008	598.1692	496.0595	591.459	24.28075	440.8994	590.5624	473.265	591.6226	23.4955	0.3959	0.5232	453.3022	605.7759	465.8326	599.5519	25.066	0.6305	0.5251
2016-12-27 00:21:55.093	1055997973	False	7	438.3076	591.2622	491.8309	591.9981	24.0888	427.6376	582.8199	467.4957	590.6559	23.2799	0.3954	0.5234	448.9776	599.7044	463.4342	599.6113	24.8977	0.63	0.5247
2016-12-27 00:21:55.110	1055997990	False	7	442.868	601.7437	488.1638	592.402	23.6923	432.4379	597.0778	463.2825	591.3862	22.5762	0.3949	0.5237	453.298	606.4095	462.037	600.4456	24.8084	0.6295	0.5245
2016-12-27 00:21:55.126	1055998006	False	7	445.9568	597.4995	484.9298	592.6721	23.79715	441.8759	582.8138	460.6861	590.5865	22.6678	0.3946	0.5236	450.0377	612.1852	460.5476	601.7505	24.9265	0.6292	0.5245
2016-12-27 00:21:55.143	1055998023	False	7	434.1643	589.0994	481.9343	593.0078	23.4919	425.9348	583.2205	457.0052	589.9308	22.4902	0.3942	0.5236	442.3938	594.9782	458.545	601.1454	24.4936	0.6289	0.5239
2016-12-27 00:21:55.160	1055998040	False	7	438.1797	597.485	440.5583	594.3442	23.5893	432.1389	589.5021	432.1389	589.5021	22.622	0.3941	0.5238	444.2206	605.468	444.2206	605.468	24.5566	0.6286	0.5239
2016-12-27 00:21:55.176	1055998056	False	7	393.3971	573.5466	393.3971	573.5466	23.0993	383.361	574.269	383.361	574.269	22.1269	0.3932	0.5234	403.4332	572.8243	403.4332	572.8243	24.0717	0.6277	0.5232
2016-12-27 00:21:55.193	1055998073	False	7	403.115	581.5156	395.8328	575.5439	23.2229	401.9479	585.517	392.6664	579.9002	22.2822	0.3932	0.5236	404.282	577.5141	403.8582	575.1722	24.1636	0.6275	0.5231
2016-12-27 00:21:55.210	1055998090	False	7	414.5529	564.4803	396.1581	575.4323	23.34545	404.9439	565.831	396.7921	575.2001	22.3687	0.3929	0.5236	424.1618	563.1296	410.6555	571.145	24.3222	0.6274	0.5229
2016-12-27 00:21:55.226	1055998106	False	7	402.9858	569.146	398.1254	574.5972	23.2231	403.8276	564.8024	398.594	572.5667	22.1974	0.3926	0.5235	402.144	573.4897	408.5351	571.724	24.2488	0.627	0.5227
2016-12-27 00:21:55.243	1055998123	False	7	409.8548	582.0814	399.396	574.4991	23.31115	411.1162	579.9374	401.1693	574.0388	22.3792	0.3923	0.5237	408.5934	584.2254	408.5548	574.2563	24.2431	0.6267	0.5226
2016-12-27 00:21:55.259	1055998139	False	7	388.0698	575.7184	399.9971	574.4836	23.03585	382.7714	576.0228	398.0792	574.3694	21.9428	0.3918	0.5237	393.3682	575.414	405.9711	574.4699	24.1289	0.6262	0.5222
2016-12-27 00:21:55.276	1055998156	False	7	396.3829	575.7383	400.3537	574.4717	23.1103	386.2979	582.187	396.3472	575.5205	22.0111	0.3913	0.5238	406.468	569.2896	406.022	573.7213	24.2095	0.6258	0.5219
2016-12-27 00:21:55.293	1055998173	False	7	414.7076	561.6563	399.9969	574.5475	23.1231	404.6756	572.0116	397.4175	575.0751	22.0049	0.3908	0.5238	424.7397	551.3009	408.4476	570.7973	24.2413	0.6254	0.5214
2016-12-27 00:21:55.309	1055998189	False	7	408.1889	544.4832	400.9762	573.8223	23.16825	410.3831	538.2912	398.9427	570.7554	22.1722	0.3903	0.523	405.9948	550.675	408.1804	568.3901	24.1643	0.6246	0.5208
2016-12-27 00:21:55.326	1055998206	False	7	403.5406	527.2241	401.752	572.9307	23.0869	401.5751	510.9271	399.2527	564.2638	21.9834	0.3896	0.5229	405.506	543.5211	407.9074	565.6423	24.1904	0.624	0.5203
2016-12-27 00:21:55.343	1055998223	False	7	397.7057	544.5248	402.045	571.9786	23.21925	397.1288	524.0392	399.0727	560.0855	22.2451	0.3889	0.5231	398.2826	565.0103	406.9608	565.4546	24.1934	0.6234	0.5203
2016-12-27 00:21:55.359	1055998239	True	7	388.7549	534.0314	402.4686	571.1019	23.248	379.1844	527.9285	397.2588	556.8511	22.457	0.3882	0.5232	398.3255	540.1344	406.1485	563.0013	24.039	0.6227	0.5198
